username,login_hour,logout_hour,failed_login,process_start,file_access,usb_insert,usb_executable_run,internet_download,suspicious_download,download_then_execute,powershell_started,encoded_command,execution_policy_bypass,execution_from_temp,unsigned_binary,hidden_process,double_extension,office_spawned_shell,certutil_download,bitsadmin_download,rundll32_network,regsvr32_remote_script,mshta_remote_script,privilege_escalation,sudo_abuse,nmap_scan,hydra_bruteforce,ssh_bruteforce,reverse_shell,ransomware_behavior,sensitive_file_access,persistence_created,osascript_shell,network_alert,port_scan,malicious_ip_contact,data_exfiltration,siem_alert,login_count,logout_count,total_events,night_activity,off_hours_activity,active_hours,session_span,distinct_ips,usb_remove,weekend_activity,off_hours_ratio,event_rate,distinct_processes,file_to_process_ratio,login_attempts,usb_events,label
TAWSIF,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,1,0,0,0,0,1.0,19.0,2,0.0,0,0,0
DESKTOP-R5AI7OF$,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1.0,2.0,2,0.0,0,0,0
TAWSIF,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,1,0,0,0,0,1.0,16.0,1,0.0,0,0,0
TAWSIF,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,41,1,0,0,0,0,1.0,41.0,5,0.0,0,0,0
DESKTOP-R5AI7OF$,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1.0,1.0,1,0.0,0,0,0
TAWSIF,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,1,0,0,0,0,1.0,16.0,1,0.0,0,0,0
TAWSIF,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,1,0,0,0,0,1.0,25.0,5,0.0,0,0,0
TAWSIF,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,1,0,0,0,0,1.0,24.0,1,0.0,0,0,0
DESKTOP-R5AI7OF$,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1.0,1.0,1,0.0,0,0,0
